SCD;21NOV12
RowNr;RD;RA;CD;CA;AL;FNR;SNR;DEP;ARR;STD;DDC;STA;ADC;Mo;Tu;We;Th;Fr;Sa;So;ACtype;ACtypefullname;AG;AGfullname;Start_Op;End_Op
145;EU;EU;DE;DE;LH;LH019;0;HAM;FRA;1400;0;1515;0;;2;;4;5;6;;321;AirbusA321-100/200;W;PAXULD;22NOV12;04DEC12
146;EU;EU;DE;DE;LH;LH019;0;HAM;FRA;1400;0;1515;0;;;;;;;7;320;AirbusA320-100/200;W;PAXULD;25NOV12;25NOV12
147;EU;EU;DE;DE;LH;LH019;0;HAM;FRA;1400;0;1515;0;;;3;;;;;319;AirbusA319;O;Others;28NOV12;28NOV12
148;EU;EU;DE;DE;LH;LH019;0;HAM;FRA;1400;0;1515;0;1;;;;;6;7;320;AirbusA320-100/200;W;PAXULD;02DEC12;08DEC12
149;EU;EU;DE;DE;LH;LH019;0;HAM;FRA;1400;0;1515;0;1;;3;;;;;319;AirbusA319;O;Others;05DEC12;24DEC12
150;EU;EU;DE;DE;LH;LH019;0;HAM;FRA;1400;0;1515;0;;;;4;5;;7;321;AirbusA321-100/200;W;PAXULD;06DEC12;20DEC12
151;EU;EU;DE;DE;LH;LH019;0;HAM;FRA;1400;0;1515;0;;2;;;;6;;321;AirbusA321-100/200;W;PAXULD;11DEC12;22DEC12
152;EU;EU;DE;DE;LH;LH019;0;HAM;FRA;1400;0;1515;0;;;;;5;;7;319;AirbusA319;O;Others;21DEC12;23DEC12
153;EU;EU;DE;DE;LH;LH020;0;FRA;HAM;1500;0;1605;0;;;3;4;5;;;321;AirbusA321-100/200;W;PAXULD;16NOV12;28MAR13
154;EU;EU;DE;DE;LH;LH020;0;FRA;HAM;1500;0;1605;0;;;;;;6;7;319;AirbusA319;O;Others;17NOV12;25NOV12
155;EU;EU;DE;DE;LH;LH020;0;FRA;HAM;1500;0;1605;0;1;;;;;;;321;AirbusA321-100/200;W;PAXULD;19NOV12;26NOV12
156;EU;EU;DE;DE;LH;LH020;0;FRA;HAM;1500;0;1605;0;;2;;;;;;321;AirbusA321-100/200;W;PAXULD;20NOV12;25DEC12
157;EU;EU;DE;DE;LH;LH020;0;FRA;HAM;1500;0;1605;0;;;;;;6;;321;AirbusA321-100/200;W;PAXULD;01DEC12;01DEC12
158;EU;EU;DE;DE;LH;LH020;0;FRA;HAM;1500;0;1605;0;;;;;;;7;320;AirbusA320-100/200;W;PAXULD;02DEC12;02DEC12
159;EU;EU;DE;DE;LH;LH020;0;FRA;HAM;1500;0;1605;0;1;;;;;;;319;AirbusA319;O;Others;03DEC12;03DEC12
160;EU;EU;DE;DE;LH;LH020;0;FRA;HAM;1500;0;1605;0;;;;;;6;7;319;AirbusA319;O;Others;08DEC12;16DEC12
161;EU;EU;DE;DE;LH;LH020;0;FRA;HAM;1500;0;1605;0;1;;;;;;;320;AirbusA320-100/200;W;PAXULD;10DEC12;17DEC12
162;EU;EU;DE;DE;LH;LH021;0;HAM;FRA;1500;0;1615;0;;2;;4;5;6;;321;AirbusA321-100/200;W;PAXULD;22NOV12;14DEC12
163;EU;EU;DE;DE;LH;LH021;0;HAM;FRA;1500;0;1615;0;1;;3;;;;7;321;AirbusA321-100/200;W;PAXULD;19NOV12;25NOV12
164;EU;EU;DE;DE;LH;LH021;0;HAM;FRA;1500;0;1615;0;1;;3;;;;;320;AirbusA320-100/200;W;PAXULD;26NOV12;28NOV12
165;EU;EU;DE;DE;LH;LH021;0;HAM;FRA;1500;0;1615;0;;;;;;;7;320;AirbusA320-100/200;W;PAXULD;02DEC12;23DEC12
